label,n_traveltimes,mean_abs_dt_ms,median_abs_dt_ms,p90_abs_dt_ms,p95_abs_dt_ms,p99_abs_dt_ms,max_abs_dt_ms,mean_percent_change,p95_abs_percent_change,receiver_spacing_m,shot_spacing_m,receiver_halfwidth_m,shot_halfwidth_m,receiver_count_approx,shot_count_approx
r1_s4_rhw25_shw40,1055,0.08571408931156276,0.07467888190764056,0.1750123100353344,0.20295333729394982,0.26236492808772316,0.29944749579957286,0.49695306118527033,3.4554289905308164,1,4,25,40,51,21
r1_s4_rhw25_shw60,1565,0.08425818775442281,0.07312548325386428,0.17259358170536734,0.1991587726261207,0.24705680640911099,0.29944749579957286,0.3370983443096054,2.843810153941205,1,4,25,60,51,31
r1_s4_rhw25_shw80,2075,0.07947018514903686,0.06781435310633868,0.16497107358047355,0.19094188611907223,0.2437006086261362,0.29944749579957286,0.2631762950247537,2.4222608484158012,1,4,25,80,51,41
r1_s4_rhw25_shw100,2585,0.07457392078417034,0.06356574927598828,0.15253904165322407,0.18289671938244295,0.2374515163021187,0.29944749579957286,0.21083944450656475,2.0409507399606475,1,4,25,100,51,51
r1_s4_rhw35_shw40,1470,0.08542890940354957,0.07521613703573467,0.17420631122160962,0.20260735543023903,0.26064250443743636,0.2994514643411168,0.42416130234573696,3.5756375083683,1,4,35,40,71,21
r1_s4_rhw35_shw60,2180,0.08399856684204363,0.07379679437004943,0.17079582239114807,0.19921631610139667,0.2497310873731231,0.2994514643411168,0.26859039547390184,2.977805036951463,1,4,35,60,71,31
r1_s4_rhw35_shw80,2890,0.07903315079395376,0.06778652162256396,0.16343166887441885,0.19092431765480952,0.24366763975061134,0.2994514643411168,0.20643292876488645,2.470712216443691,1,4,35,80,71,41
r1_s4_rhw35_shw100,3600,0.07392095069708983,0.06212738799588405,0.15212899468415203,0.18346244066634884,0.23649152597343936,0.2994514643411168,0.16204552376996623,2.120053716972127,1,4,35,100,71,51
r1_s4_rhw50_shw40,2096,0.08841790736099543,0.07754776455787954,0.17989225078902937,0.21248986289768923,0.2677556974170868,0.326091156900174,0.36128383490317817,3.4956152285757454,1,4,50,40,101,21
r1_s4_rhw50_shw60,3102,0.08570037841277413,0.07528407466031277,0.1732949378278009,0.20658574148605746,0.26082731421431216,0.326091156900174,0.21914925605118132,3.1330192501187373,1,4,50,60,101,31
r1_s4_rhw50_shw80,4112,0.08084797261579199,0.06889680154691796,0.16590060423589056,0.19775458233179108,0.25078077915194347,0.326091156900174,0.17890195839449496,2.623052065549193,1,4,50,80,101,41
r1_s4_rhw50_shw100,5122,0.07565847965863598,0.06337478431887346,0.1589897506841695,0.18916365510669414,0.24383317574625352,0.326091156900174,0.1449463955461134,2.248768847111784,1,4,50,100,101,51
r1_s4_rhw75_shw40,3146,0.08469793881065053,0.07421351275770831,0.17129385272283104,0.20263202062569247,0.26070773141751025,0.326091156900174,0.2909303126453134,2.77307969704255,1,4,75,40,151,21
